productId,title,category,source_url,screening_status,sourcing_status,upload_lock_status,result,rejection_gates,rejection_reasons,approval_reasons,risk_keywords,margin_rate,option_count,supplier_score,supplier_score_reason,review_reason_type,review_priority,watchlist_reason_type,missing_evidence_fields,estimated_cost,estimated_sale_price,checked_at,bundle_suggestion,is_risk_override_downgraded,is_marketable_but_high_risk,is_safe_but_low_marketability,is_low_price_consumable,is_detail_page_ready,is_upload_ready,upload_ready_blocked_reason,visibility_score,cs_burden_score,keyword_quality_info,source_evidence,verification_status,cost_analysis,detail_page_data
"RAW_camera_screw_adapter_0_qsy19","[자동번역] camera screw adapter - 상품 0","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_0_qsy19","REJECTED","COLLECTED","BLOCKED_BY_RISK","REJECTED","[]","[""법적/인증/브랜드 리스크""]","[]","[]","0.3057639751552795","4","100","리뷰 100건 이상","NONE","NONE","NONE","[""source_spec_text 부족""]","22354.4","32200","2026-04-26T11:07:52.169Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 0"",""price"":""83.76"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""248"",""rating"":""4.6"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.952Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":15914.400000000001,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3864,""payment_fee"":966,""return_buffer"":1610,""final_landed_cost"":22354.4,""final_margin_rate"":0.3057639751552795}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_1_zalyk","[자동번역] camera screw adapter - 상품 1","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_1_zalyk","REVIEW_ONLY","COLLECTED","BLOCKED_BY_REVIEW_REQUIRED","REVIEW_ONLY","[]","[]","[]","[]","0.24419602272727275","7","100","리뷰 100건 이상","OPTION_MISSING","MEDIUM","NONE","[""source_option_name 부족"",""final_margin_rate 불확실""]","26604.3","35200","2026-04-26T11:07:52.171Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 1"",""price"":""102.97"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""561"",""rating"":""4.8"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.953Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":19564.3,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":4224,""payment_fee"":1056,""return_buffer"":1760,""final_landed_cost"":26604.3,""final_margin_rate"":0.24419602272727275}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_2_icc87","[자동번역] camera screw adapter - 상품 2","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_2_icc87","REVIEW_ONLY","COLLECTED","BLOCKED_BY_REVIEW_REQUIRED","REVIEW_ONLY","[]","[]","[]","[]","0.3322282608695652","6","76","리뷰 및 평점 근거 부족","OPTION_MISSING","MEDIUM","NONE","[""source_spec_text 부족"",""source_option_name 부족"",""supplier_score_reason 부족""]","12287","18400","2026-04-26T11:07:52.171Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 2"",""price"":""45.30"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""1"",""rating"":""4.0"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.953Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":8607,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2208,""payment_fee"":552,""return_buffer"":920,""final_landed_cost"":12287,""final_margin_rate"":0.3322282608695652}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_3_9caob","[자동번역] camera screw adapter - 상품 3","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_3_9caob","WATCHLIST","COLLECTED","NOT_ELIGIBLE_FOR_UPLOAD","WATCHLIST","[]","[]","[]","[]","0.37968292682926824","3","100","리뷰 100건 이상, 평점 4.8 초과","NONE","NONE","LOW_MARKETABILITY","[""source_spec_text 부족""]","7629.900000000001","12300","2026-04-26T11:07:52.172Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 3"",""price"":""27.21"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""562"",""rating"":""5.0"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.953Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":5169.900000000001,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":1476,""payment_fee"":369,""return_buffer"":615,""final_landed_cost"":7629.900000000001,""final_margin_rate"":0.37968292682926824}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_4_b8cm7","[자동번역] camera screw adapter - 상품 4","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_4_b8cm7","REVIEW_ONLY","COLLECTED","BLOCKED_BY_REVIEW_REQUIRED","REVIEW_ONLY","[]","[]","[]","[]","0.4156517412935324","9","100","평점 4.8 초과","OPTION_MISSING","HIGH","NONE","[""source_option_name 부족""]","11745.4","20100","2026-04-26T11:07:52.172Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 4"",""price"":""40.66"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""4"",""rating"":""5.0"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.953Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":7725.4,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2412,""payment_fee"":603,""return_buffer"":1005,""final_landed_cost"":11745.4,""final_margin_rate"":0.4156517412935324}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_5_500os","[자동번역] camera screw adapter - 상품 5","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_5_500os","REVIEW_ONLY","COLLECTED","BLOCKED_BY_REVIEW_REQUIRED","REVIEW_ONLY","[]","[]","[]","[]","0.4106596638655462","7","100","배송 신뢰도 높음","OPTION_MISSING","HIGH","NONE","[""source_spec_text 부족"",""source_option_name 부족""]","14026.300000000001","23800","2026-04-26T11:07:52.172Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 5"",""price"":""48.77"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""63"",""rating"":""4.4"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.953Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":9266.300000000001,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2856,""payment_fee"":714,""return_buffer"":1190,""final_landed_cost"":14026.300000000001,""final_margin_rate"":0.4106596638655462}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_6_j1lgt","[자동번역] camera screw adapter - 상품 6","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_6_j1lgt","REVIEW_ONLY","COLLECTED","BLOCKED_BY_REVIEW_REQUIRED","REVIEW_ONLY","[]","[]","[]","[]","0.4147630979498861","8","76","리뷰 및 평점 근거 부족","COMPONENT_MISSING","HIGH","NONE","[""component_quantity 부족"",""supplier_score_reason 부족""]","25691.9","43900","2026-04-26T11:07:52.172Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 6"",""price"":""89.01"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":"""",""seller_name"":""Great Parts Store"",""review_count"":""4"",""rating"":""4.2"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.953Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":16911.9,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":5268,""payment_fee"":1317,""return_buffer"":2195,""final_landed_cost"":25691.9,""final_margin_rate"":0.4147630979498861}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":"""",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_7_euic7","[자동번역] camera screw adapter - 상품 7","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_7_euic7","WATCHLIST","COLLECTED","NOT_ELIGIBLE_FOR_UPLOAD","WATCHLIST","[]","[]","[]","[]","0.4238068592057762","3","100","평점 4.8 초과, 배송 신뢰도 높음","NONE","NONE","LOW_MARKETABILITY","[""source_spec_text 부족"",""source_option_name 부족""]","31921.1","55400","2026-04-26T11:07:52.172Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 7"",""price"":""109.69"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""3"",""rating"":""4.9"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.953Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":20841.1,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":6648,""payment_fee"":1662,""return_buffer"":2770,""final_landed_cost"":31921.1,""final_margin_rate"":0.4238068592057762}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_8_i9ea7","[자동번역] camera screw adapter - 상품 8","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_8_i9ea7","REVIEW_ONLY","COLLECTED","BLOCKED_BY_REVIEW_REQUIRED","REVIEW_ONLY","[]","[]","[]","[]","0.37135999999999997","10","100","리뷰 100건 이상","OPTION_MISSING","HIGH","NONE","[""source_option_name 부족""]","11001.2","17500","2026-04-26T11:07:52.172Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 8"",""price"":""39.48"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""887"",""rating"":""4.7"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.953Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":7501.2,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2100,""payment_fee"":525,""return_buffer"":875,""final_landed_cost"":11001.2,""final_margin_rate"":0.37135999999999997}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
"RAW_camera_screw_adapter_9_8e03d","[자동번역] camera screw adapter - 상품 9","CAMERA_ACC","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_9_8e03d","WATCHLIST","COLLECTED","NOT_ELIGIBLE_FOR_UPLOAD","WATCHLIST","[]","[]","[]","[]","0.39102261306532654","7","100","리뷰 100건 이상, 배송 신뢰도 높음","NONE","NONE","LOW_MARKETABILITY","[""component_quantity 부족""]","24237.300000000003","39800","2026-04-26T11:07:52.173Z","","false","false","false","false","false","false","","70","30","{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 9"",""price"":""85.67"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":"""",""seller_name"":""Great Parts Store"",""review_count"":""136"",""rating"":""4.2"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:13:15.954Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":16277.300000000001,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":4776,""payment_fee"":1194,""return_buffer"":1990,""final_landed_cost"":24237.300000000003,""final_margin_rate"":0.39102261306532654}","{""selling_title_draft"":"""",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":"""",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
