product_name,selling_title_draft,short_description,key_specifications,package_components,compatible_with,not_compatible_with,usage_notice,size_notice,shipping_notice,return_notice,overseas_purchase_notice,customer_check_before_order,warnings
실리콘 케이블 정리 클립 1,[규격확인 필수] 실리콘 케이블 정리 클립 1,본 상품은 해외 직구 규격품입니다.,친환경 실리콘 5구형,클립 2개 3M 양면테이프,지름 5mm 이하 모든 케이블,두꺼운 전원 케이블 비권장,부착 전 표면의 먼지를 제거하세요,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,부착 후 제거 시 흔적이 남을 수 있음,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
카메라 삼각대 나사 어댑터 2,[규격확인 필수] 카메라 삼각대 나사 어댑터 2,본 상품은 해외 직구 규격품입니다.,,,상세 규격을 확인 후 주문해 주세요.,특수 규격 제품에는 호환되지 않을 수 있습니다.,,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
카메라 삼각대 나사 어댑터 3,[규격확인 필수] 카메라 삼각대 나사 어댑터 3,본 상품은 해외 직구 규격품입니다.,표준 1/4인치 to 3/8인치 변환 어댑터,나사 어댑터 1개,모든 1/4인치 삼각대 및 헤드,특수 규격 소니 구형 모델 비호환,무리하게 힘을 주어 조이지 마십시오,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,제품 불량 시 100% 환불,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
실리콘 케이블 정리 클립 6,[규격확인 필수] 실리콘 케이블 정리 클립 6,본 상품은 해외 직구 규격품입니다.,,,상세 규격을 확인 후 주문해 주세요.,특수 규격 제품에는 호환되지 않을 수 있습니다.,,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
카메라 삼각대 나사 어댑터 7,[규격확인 필수] 카메라 삼각대 나사 어댑터 7,본 상품은 해외 직구 규격품입니다.,,,상세 규격을 확인 후 주문해 주세요.,특수 규격 제품에는 호환되지 않을 수 있습니다.,,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
완벽 호환 정품 케이스 8,[규격확인 필수] 완벽 호환 정품 케이스 8,본 상품은 해외 직구 규격품입니다.,,,상세 규격을 확인 후 주문해 주세요.,특수 규격 제품에는 호환되지 않을 수 있습니다.,,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,금지/주의 문구 탐지됨
카메라 삼각대 나사 어댑터 13,[규격확인 필수] 카메라 삼각대 나사 어댑터 13,본 상품은 해외 직구 규격품입니다.,,,상세 규격을 확인 후 주문해 주세요.,특수 규격 제품에는 호환되지 않을 수 있습니다.,,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
실리콘 케이블 정리 클립 14,[규격확인 필수] 실리콘 케이블 정리 클립 14,본 상품은 해외 직구 규격품입니다.,친환경 실리콘 5구형,클립 2개 3M 양면테이프,지름 5mm 이하 모든 케이블,두꺼운 전원 케이블 비권장,부착 전 표면의 먼지를 제거하세요,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,부착 후 제거 시 흔적이 남을 수 있음,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
실리콘 케이블 정리 클립 15,[규격확인 필수] 실리콘 케이블 정리 클립 15,본 상품은 해외 직구 규격품입니다.,친환경 실리콘 5구형,클립 2개 3M 양면테이프,지름 5mm 이하 모든 케이블,두꺼운 전원 케이블 비권장,부착 전 표면의 먼지를 제거하세요,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,부착 후 제거 시 흔적이 남을 수 있음,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
실리콘 케이블 정리 클립 17,[규격확인 필수] 실리콘 케이블 정리 클립 17,본 상품은 해외 직구 규격품입니다.,,,상세 규격을 확인 후 주문해 주세요.,특수 규격 제품에는 호환되지 않을 수 있습니다.,,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
실리콘 케이블 정리 클립 20,[규격확인 필수] 실리콘 케이블 정리 클립 20,본 상품은 해외 직구 규격품입니다.,,,상세 규격을 확인 후 주문해 주세요.,특수 규격 제품에는 호환되지 않을 수 있습니다.,,구매 전 사이즈 표를 반드시 확인해 주세요.,국제 배송 상품으로 7~14일이 소요됩니다.,,본 제품은 해외 구매대행 상품입니다.,규격 불일치로 인한 반품 시 고객님께 반송비가 청구될 수 있습니다.,
