productId,title,category,source_url,screening_status,sourcing_status,upload_lock_status,result,rejection_gates,rejection_reasons,approval_reasons,risk_keywords,margin_rate,option_count,supplier_score,supplier_score_reason,review_reason_type,review_priority,watchlist_reason_type,estimated_cost,estimated_sale_price,checked_at,bundle_suggestion,is_risk_override_downgraded,is_marketable_but_high_risk,is_safe_but_low_marketability,is_low_price_consumable,is_detail_page_ready,is_upload_ready,upload_ready_blocked_reason,visibility_score,cs_burden_score,keyword_quality_info,source_evidence,verification_status,cost_analysis,detail_page_data
RAW_camera_screw_adapter_0_v0a3h,[자동번역] camera screw adapter - 상품 0,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_0_v0a3h,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],"[""법적/인증/브랜드 리스크""]","[""판매 흔적 존재""]",[],0.25891911764705877,5,100,리뷰 100건 이상,NONE,NONE,NONE,20157.4,27200,2026-04-26T10:43:07.164Z,,,,,,,,,70,50,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 0"",""price"":""77.46"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""303"",""rating"":""4.1"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.159Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":14717.4,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3264,""payment_fee"":816,""return_buffer"":1360,""final_landed_cost"":20157.4,""final_margin_rate"":0.25891911764705877}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 0"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락""],""warnings"":[]}"
RAW_camera_screw_adapter_4_act9i,[자동번역] camera screw adapter - 상품 4,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_4_act9i,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],[],"[""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],-0.014229166666666666,8,100,리뷰 100건 이상,NONE,NONE,NONE,24341.5,24000,2026-04-26T10:43:07.165Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 4"",""price"":""102.85"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""142"",""rating"":""4.2"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":19541.5,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2880,""payment_fee"":720,""return_buffer"":1200,""final_landed_cost"":24341.5,""final_margin_rate"":-0.014229166666666666}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 4"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_tripod_screw_adapter_0_5bfrb,[자동번역] tripod screw adapter - 상품 0,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_0_5bfrb,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],"[""법적/인증/브랜드 리스크""]",[],[],0.24840251572327046,9,100,"리뷰 100건 이상, 배송 신뢰도 높음",NONE,NONE,NONE,23900.8,31800,2026-04-26T10:43:07.166Z,,,,,,,,,70,50,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 0"",""price"":""92.32"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""523"",""rating"":""4.4"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":17540.8,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3816,""payment_fee"":954,""return_buffer"":1590,""final_landed_cost"":23900.8,""final_margin_rate"":0.24840251572327046}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 0"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락""],""warnings"":[]}"
RAW_tripod_screw_adapter_7_nw9wr,[자동번역] tripod screw adapter - 상품 7,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_7_nw9wr,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],[],"[""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],-0.0013480176211453103,4,76,리뷰 및 평점 근거 부족,NONE,NONE,NONE,22730.6,22700,2026-04-26T10:43:07.166Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 7"",""price"":""95.74"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":"""",""seller_name"":""Great Parts Store"",""review_count"":""4"",""rating"":""4.3"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":18190.6,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2724,""payment_fee"":681,""return_buffer"":1135,""final_landed_cost"":22730.6,""final_margin_rate"":-0.0013480176211453103}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 7"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":"""",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""구성품 정보 누락"",""옵션 규격 불명확""],""warnings"":[]}"
RAW_tripod_screw_adapter_15_84nbo,[자동번역] tripod screw adapter - 상품 15,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_15_84nbo,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],"[""법적/인증/브랜드 리스크""]","[""판매 흔적 존재""]",[],0.3955,9,100,평점 4.8 초과,NONE,NONE,NONE,4594.2,7600,2026-04-26T10:43:07.166Z,,,,,,,,,80,50,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 15"",""price"":""16.18"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":"""",""seller_name"":""Great Parts Store"",""review_count"":""31"",""rating"":""5.0"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":3074.2,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":912,""payment_fee"":228,""return_buffer"":380,""final_landed_cost"":4594.2,""final_margin_rate"":0.3955}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 15"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":"""",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""구성품 정보 누락""],""warnings"":[]}"
RAW_1/4_3/8_adapter_0_msp04,[자동번역] 1/4 3/8 adapter - 상품 0,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_0_msp04,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],"[""법적/인증/브랜드 리스크""]","[""규격형 검색어 존재"",""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.44435454545454545,8,100,배송 신뢰도 높음,NONE,NONE,NONE,12224.2,22000,2026-04-26T10:43:07.166Z,,,,,,1,,,100,50,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""1/4 3/8 adapter - Item 0"",""price"":""41.18"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""1"",""rating"":""4.8"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":7824.2,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2640,""payment_fee"":660,""return_buffer"":1100,""final_landed_cost"":12224.2,""final_margin_rate"":0.44435454545454545}","{""selling_title_draft"":""[규격 확인] [자동번역] 1/4 3/8 adapter - 상품 0"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
RAW_1/4_3/8_adapter_6_e03ob,[자동번역] 1/4 3/8 adapter - 상품 6,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_6_e03ob,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],[],"[""규격형 검색어 존재"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.06435359116022116,4,100,리뷰 100건 이상,NONE,NONE,NONE,16935.199999999997,18100,2026-04-26T10:43:07.166Z,,,,,,,,,90,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""1/4 3/8 adapter - Item 6"",""price"":""70.08"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""743"",""rating"":""4.4"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":13315.199999999999,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2172,""payment_fee"":543,""return_buffer"":905,""final_landed_cost"":16935.199999999997,""final_margin_rate"":0.06435359116022116}","{""selling_title_draft"":""[규격 확인] [자동번역] 1/4 3/8 adapter - 상품 6"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락""],""warnings"":[]}"
RAW_1/4_3/8_adapter_7_ce3c1,[자동번역] 1/4 3/8 adapter - 상품 7,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_7_ce3c1,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],[],"[""규격형 검색어 존재"",""반복구매/소모품 성격"",""판매 흔적 존재""]",[],0.03305769230769236,3,100,평점 4.8 초과,NONE,NONE,NONE,15084.3,15600,2026-04-26T10:43:07.166Z,,,,,,,,,100,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""1/4 3/8 adapter - Item 7"",""price"":""62.97"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""2"",""rating"":""4.9"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":11964.3,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":1872,""payment_fee"":468,""return_buffer"":780,""final_landed_cost"":15084.3,""final_margin_rate"":0.03305769230769236}","{""selling_title_draft"":""[규격 확인] [자동번역] 1/4 3/8 adapter - 상품 7"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_1/4_3/8_adapter_11_crv9n,[자동번역] 1/4 3/8 adapter - 상품 11,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_11_crv9n,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],[],"[""규격형 검색어 존재"",""판매 흔적 존재""]",[],0.0705853658536586,3,100,리뷰 100건 이상,NONE,NONE,NONE,22863.6,24600,2026-04-26T10:43:07.167Z,,,,,,,,,100,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""1/4 3/8 adapter - Item 11"",""price"":""94.44"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""614"",""rating"":""4.1"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":17943.6,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2952,""payment_fee"":738,""return_buffer"":1230,""final_landed_cost"":22863.6,""final_margin_rate"":0.0705853658536586}","{""selling_title_draft"":""[규격 확인] [자동번역] 1/4 3/8 adapter - 상품 11"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_3d_printer_nozzle_0.4mm_0_6i6dg,[자동번역] 3d printer nozzle 0.4mm - 상품 0,3D_PRINTER,https://item.taobao.com/item.htm?id=RAW_3d_printer_nozzle_0.4mm_0_6i6dg,REJECTED,COLLECTED,BLOCKED_BY_RISK,REJECTED,[],"[""법적/인증/브랜드 리스크""]","[""반복구매/소모품 성격"",""판매 흔적 존재""]",[],0.07963440860215058,4,81,"배송 신뢰도 높음, 리뷰 및 평점 근거 부족",NONE,NONE,NONE,8559.4,9300,2026-04-26T10:43:07.167Z,,,,,,,,,70,50,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""3d printer nozzle 0.4mm - Item 0"",""price"":""35.26"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""0"",""rating"":""4.0"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":6699.4,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":1116,""payment_fee"":279,""return_buffer"":465,""final_landed_cost"":8559.4,""final_margin_rate"":0.07963440860215058}","{""selling_title_draft"":""[규격 확인] [자동번역] 3d printer nozzle 0.4mm - 상품 0"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락""],""warnings"":[]}"
