productId,title,category,source_url,screening_status,sourcing_status,upload_lock_status,result,rejection_gates,rejection_reasons,approval_reasons,risk_keywords,margin_rate,option_count,supplier_score,supplier_score_reason,review_reason_type,review_priority,watchlist_reason_type,estimated_cost,estimated_sale_price,checked_at,bundle_suggestion,is_risk_override_downgraded,is_marketable_but_high_risk,is_safe_but_low_marketability,is_low_price_consumable,is_detail_page_ready,is_upload_ready,upload_ready_blocked_reason,visibility_score,cs_burden_score,keyword_quality_info,source_evidence,verification_status,cost_analysis,detail_page_data
RAW_camera_screw_adapter_1_t1wzn,[자동번역] camera screw adapter - 상품 1,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_1_t1wzn,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],"[""반복구매/소모품 성격""]",[],0.4602379807692308,1,100,"리뷰 100건 이상, 배송 신뢰도 높음",NONE,NONE,LOW_MARKETABILITY,22454.1,41600,2026-04-26T10:43:07.164Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 1"",""price"":""74.39"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""979"",""rating"":""4.2"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":14134.1,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":4992,""payment_fee"":1248,""return_buffer"":2080,""final_landed_cost"":22454.1,""final_margin_rate"":0.4602379807692308}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 1"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_camera_screw_adapter_5_m03bv,[자동번역] camera screw adapter - 상품 5,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_5_m03bv,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],"[""판매 흔적 존재""]",[],0.2828597014925373,4,100,리뷰 100건 이상,NONE,NONE,LOW_MARKETABILITY,24024.2,33500,2026-04-26T10:43:07.165Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 5"",""price"":""91.18"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""413"",""rating"":""4.2"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":17324.2,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":4020,""payment_fee"":1005,""return_buffer"":1675,""final_landed_cost"":24024.2,""final_margin_rate"":0.2828597014925373}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 5"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_camera_screw_adapter_6_9y97g,[자동번역] camera screw adapter - 상품 6,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_6_9y97g,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],[],[],0.10769580419580427,8,100,"리뷰 100건 이상, 평점 4.8 초과",NONE,NONE,LOW_MARKETABILITY,25519.899999999998,28600,2026-04-26T10:43:07.165Z,,,,,,,,,70,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 6"",""price"":""104.21"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""792"",""rating"":""4.9"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":19799.899999999998,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3432,""payment_fee"":858,""return_buffer"":1430,""final_landed_cost"":25519.899999999998,""final_margin_rate"":0.10769580419580427}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 6"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락""],""warnings"":[]}"
RAW_camera_screw_adapter_9_lv8fh,[자동번역] camera screw adapter - 상품 9,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_9_lv8fh,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],"[""국내에서 구하기 불편한 부속품""]",[],0.4570813186813186,7,81,"배송 신뢰도 높음, 리뷰 및 평점 근거 부족",NONE,NONE,LOW_MARKETABILITY,24702.800000000003,45500,2026-04-26T10:43:07.165Z,,,,,,,,,70,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 9"",""price"":""82.12"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""0"",""rating"":""4.3"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":15602.800000000001,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":5460,""payment_fee"":1365,""return_buffer"":2275,""final_landed_cost"":24702.800000000003,""final_margin_rate"":0.4570813186813186}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 9"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락""],""warnings"":[]}"
RAW_camera_screw_adapter_10_t2913,[자동번역] camera screw adapter - 상품 10,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_10_t2913,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],"[""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.19762962962962966,4,100,"리뷰 100건 이상, 평점 4.8 초과",NONE,NONE,PRODUCT_GROUP_OBSERVATION,25996.8,32400,2026-04-26T10:43:07.166Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 10"",""price"":""102.72"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""950"",""rating"":""4.9"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":19516.8,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3888,""payment_fee"":972,""return_buffer"":1620,""final_landed_cost"":25996.8,""final_margin_rate"":0.19762962962962966}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 10"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_camera_screw_adapter_11_lxnjd,[자동번역] camera screw adapter - 상품 11,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_11_lxnjd,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],"[""판매 흔적 존재""]",[],0.3747283950617284,9,100,"리뷰 100건 이상, 배송 신뢰도 높음",NONE,NONE,LOW_MARKETABILITY,20258.8,32400,2026-04-26T10:43:07.166Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 11"",""price"":""72.52"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""636"",""rating"":""4.6"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":13778.8,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3888,""payment_fee"":972,""return_buffer"":1620,""final_landed_cost"":20258.8,""final_margin_rate"":0.3747283950617284}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 11"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_tripod_screw_adapter_1_0y44c,[자동번역] tripod screw adapter - 상품 1,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_1_0y44c,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],"[""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.10666666666666667,6,100,리뷰 100건 이상,NONE,NONE,PRODUCT_GROUP_OBSERVATION,20368,22800,2026-04-26T10:43:07.166Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 1"",""price"":""83.20"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""535"",""rating"":""4.1"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":15808,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2736,""payment_fee"":684,""return_buffer"":1140,""final_landed_cost"":20368,""final_margin_rate"":0.10666666666666667}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 1"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_tripod_screw_adapter_2_wf7in,[자동번역] tripod screw adapter - 상품 2,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_2_wf7in,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],"[""판매 흔적 존재""]",[],0.3397777777777778,9,100,리뷰 100건 이상,NONE,NONE,LOW_MARKETABILITY,6536.2,9900,2026-04-26T10:43:07.166Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 2"",""price"":""23.98"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""234"",""rating"":""4.3"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":4556.2,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":1188,""payment_fee"":297,""return_buffer"":495,""final_landed_cost"":6536.2,""final_margin_rate"":0.3397777777777778}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 2"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_tripod_screw_adapter_3_iwksw,[자동번역] tripod screw adapter - 상품 3,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_3_iwksw,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],[],[],0.20488853503184715,4,100,리뷰 100건 이상,NONE,NONE,LOW_MARKETABILITY,24966.5,31400,2026-04-26T10:43:07.166Z,,,,,,,,,70,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 3"",""price"":""98.35"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":"""",""seller_name"":""Great Parts Store"",""review_count"":""883"",""rating"":""4.1"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":18686.5,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3768,""payment_fee"":942,""return_buffer"":1570,""final_landed_cost"":24966.5,""final_margin_rate"":0.20488853503184715}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 3"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":"""",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락"",""구성품 정보 누락""],""warnings"":[]}"
RAW_tripod_screw_adapter_5_mf2hm,[자동번역] tripod screw adapter - 상품 5,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_5_mf2hm,WATCHLIST,COLLECTED,NOT_ELIGIBLE_FOR_UPLOAD,WATCHLIST,[],[],"[""판매 흔적 존재""]",[],0.36164285714285715,8,100,"리뷰 100건 이상, 배송 신뢰도 높음",NONE,NONE,LOW_MARKETABILITY,4468.5,7000,2026-04-26T10:43:07.166Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 5"",""price"":""16.15"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":"""",""seller_name"":""Great Parts Store"",""review_count"":""889"",""rating"":""4.6"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":3068.4999999999995,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":840,""payment_fee"":210,""return_buffer"":350,""final_landed_cost"":4468.5,""final_margin_rate"":0.36164285714285715}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 5"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":"""",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""구성품 정보 누락"",""옵션 규격 불명확""],""warnings"":[]}"
