productId,title,category,source_url,screening_status,sourcing_status,upload_lock_status,result,rejection_gates,rejection_reasons,approval_reasons,risk_keywords,margin_rate,option_count,supplier_score,supplier_score_reason,review_reason_type,review_priority,watchlist_reason_type,estimated_cost,estimated_sale_price,checked_at,bundle_suggestion,is_risk_override_downgraded,is_marketable_but_high_risk,is_safe_but_low_marketability,is_low_price_consumable,is_detail_page_ready,is_upload_ready,upload_ready_blocked_reason,visibility_score,cs_burden_score,keyword_quality_info,source_evidence,verification_status,cost_analysis,detail_page_data
RAW_camera_screw_adapter_2_kwotj,[자동번역] camera screw adapter - 상품 2,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_2_kwotj,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.43815637065637064,10,96,특이사항 없음,SPEC_MISSING,HIGH,NONE,29103.5,51800,2026-04-26T10:43:07.164Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 2"",""price"":""98.65"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""2"",""rating"":""4.5"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":18743.5,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":6216,""payment_fee"":1554,""return_buffer"":2590,""final_landed_cost"":29103.5,""final_margin_rate"":0.43815637065637064}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 2"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_camera_screw_adapter_3_ntmtv,[자동번역] camera screw adapter - 상품 3,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_3_ntmtv,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품""]",[],0.4120573770491804,7,100,"리뷰 100건 이상, 배송 신뢰도 높음",SPEC_MISSING,HIGH,NONE,7172.9,12200,2026-04-26T10:43:07.165Z,,,,,,1,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 3"",""price"":""24.91"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""120"",""rating"":""4.8"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":4732.9,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":1464,""payment_fee"":366,""return_buffer"":610,""final_landed_cost"":7172.9,""final_margin_rate"":0.4120573770491804}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 3"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
RAW_camera_screw_adapter_7_d5hc2,[자동번역] camera screw adapter - 상품 7,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_7_d5hc2,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.29124271844660193,5,100,리뷰 100건 이상,SPEC_MISSING,MEDIUM,NONE,14600.4,20600,2026-04-26T10:43:07.165Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 7"",""price"":""55.16"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":"""",""seller_name"":""Great Parts Store"",""review_count"":""314"",""rating"":""4.7"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":10480.4,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2472,""payment_fee"":618,""return_buffer"":1030,""final_landed_cost"":14600.4,""final_margin_rate"":0.29124271844660193}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 7"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":"""",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""구성품 정보 누락"",""옵션 규격 불명확""],""warnings"":[]}"
RAW_camera_screw_adapter_8_1us98,[자동번역] camera screw adapter - 상품 8,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_8_1us98,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.40635992217898836,10,100,평점 4.8 초과,SPEC_MISSING,HIGH,NONE,30513.1,51400,2026-04-26T10:43:07.165Z,,,,,,,,,70,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 8"",""price"":""106.49"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""2"",""rating"":""4.9"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":20233.1,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":6168,""payment_fee"":1542,""return_buffer"":2570,""final_landed_cost"":30513.1,""final_margin_rate"":0.40635992217898836}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 8"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락"",""옵션 규격 불명확""],""warnings"":[]}"
RAW_camera_screw_adapter_12_pqjjw,[자동번역] camera screw adapter - 상품 12,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_12_pqjjw,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""반복구매/소모품 성격"",""판매 흔적 존재""]",[],0.3270039062500001,5,100,"리뷰 100건 이상, 배송 신뢰도 높음",SPEC_MISSING,HIGH,NONE,17228.699999999997,25600,2026-04-26T10:43:07.166Z,,,,,,1,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""camera screw adapter - Item 12"",""price"":""63.73"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""820"",""rating"":""4.8"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":12108.699999999999,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3072,""payment_fee"":768,""return_buffer"":1280,""final_landed_cost"":17228.699999999997,""final_margin_rate"":0.3270039062500001}","{""selling_title_draft"":""[규격 확인] [자동번역] camera screw adapter - 상품 12"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[],""warnings"":[]}"
RAW_tripod_screw_adapter_4_5f8e0,[자동번역] tripod screw adapter - 상품 4,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_4_5f8e0,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.4107422096317281,1,100,리뷰 100건 이상,SPEC_MISSING,HIGH,NONE,20800.8,35300,2026-04-26T10:43:07.166Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 4"",""price"":""72.32"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""528"",""rating"":""4.6"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":13740.8,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":4236,""payment_fee"":1059,""return_buffer"":1765,""final_landed_cost"":20800.8,""final_margin_rate"":0.4107422096317281}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 4"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_tripod_screw_adapter_6_x3whe,[자동번역] tripod screw adapter - 상품 6,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_6_x3whe,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.46449166666666664,10,81,"배송 신뢰도 높음, 리뷰 및 평점 근거 부족",SPEC_MISSING,HIGH,NONE,12852.2,24000,2026-04-26T10:43:07.166Z,,,,,,,,,70,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 6"",""price"":""42.38"",""shipping_fee"":""0.00"",""option_name"":""1/4"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""3"",""rating"":""4.1"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":8052.200000000001,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2880,""payment_fee"":720,""return_buffer"":1200,""final_landed_cost"":12852.2,""final_margin_rate"":0.46449166666666664}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 6"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락""],""warnings"":[]}"
RAW_tripod_screw_adapter_11_txeju,[자동번역] tripod screw adapter - 상품 11,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_11_txeju,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.3587620817843866,7,100,배송 신뢰도 높음,SPEC_MISSING,HIGH,NONE,17249.3,26900,2026-04-26T10:43:07.166Z,,,,,,,,,70,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 11"",""price"":""62.47"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""2"",""rating"":""4.6"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":11869.3,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":3228,""payment_fee"":807,""return_buffer"":1345,""final_landed_cost"":17249.3,""final_margin_rate"":0.3587620817843866}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 11"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락"",""옵션 규격 불명확""],""warnings"":[]}"
RAW_tripod_screw_adapter_14_ljdy1,[자동번역] tripod screw adapter - 상품 14,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_14_ljdy1,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.42,6,100,"리뷰 100건 이상, 배송 신뢰도 높음",SPEC_MISSING,HIGH,NONE,14036,24200,2026-04-26T10:43:07.166Z,,,,,,,,,80,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""tripod screw adapter - Item 14"",""price"":""48.40"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""113"",""rating"":""4.1"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""FAST"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":9196,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2904,""payment_fee"":726,""return_buffer"":1210,""final_landed_cost"":14036,""final_margin_rate"":0.42}","{""selling_title_draft"":""[규격 확인] [자동번역] tripod screw adapter - 상품 14"",""short_description"":"""",""key_specifications"":""Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""옵션 규격 불명확""],""warnings"":[]}"
RAW_1/4_3/8_adapter_5_g9epa,[자동번역] 1/4 3/8 adapter - 상품 5,CAMERA_ACC,https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_5_g9epa,REVIEW_ONLY,COLLECTED,BLOCKED_BY_REVIEW_REQUIRED,REVIEW_ONLY,[],[],"[""규격형 검색어 존재"",""반복구매/소모품 성격"",""국내에서 구하기 불편한 부속품"",""판매 흔적 존재""]",[],0.3319774011299435,3,96,특이사항 없음,OPTION_MISSING,HIGH,NONE,11824,17700,2026-04-26T10:43:07.166Z,,,,,,,,,90,30,"{""intent"":""SPEC_MATCH"",""buyer"":""PROFESSIONAL""}","{""title"":""1/4 3/8 adapter - Item 5"",""price"":""43.60"",""shipping_fee"":""0.00"",""option_name"":""Type A"",""spec_text"":""Size: Standard"",""component_text"":""1x Screw Adapter"",""seller_name"":""Great Parts Store"",""review_count"":""84"",""rating"":""4.8"",""stock_status"":""IN_STOCK"",""shipping_reliability_hint"":""NORMAL"",""recent_sales_hint"":""EXIST"",""checked_at"":""2026-04-26T10:43:07.161Z""}","{""original_page_checked"":false,""spec_verified"":false,""component_verified"":false,""compatibility_verified"":false,""price_verified"":false,""shipping_cost_verified"":false,""supplier_stock_verified"":false,""decision"":""HOLD""}","{""source_price_krw"":8284,""source_shipping_krw"":0,""int_shipping_krw"":0,""platform_fee"":2124,""payment_fee"":531,""return_buffer"":885,""final_landed_cost"":11824,""final_margin_rate"":0.3319774011299435}","{""selling_title_draft"":""[규격 확인] [자동번역] 1/4 3/8 adapter - 상품 5"",""short_description"":"""",""key_specifications"":""Size: Standard"",""package_components"":""1x Screw Adapter"",""compatible_with"":"""",""not_compatible_with"":"""",""usage_notice"":"""",""size_notice"":"""",""shipping_notice"":"""",""return_notice"":"""",""overseas_purchase_notice"":"""",""customer_check_before_order"":"""",""blockers"":[""주요 스펙 누락"",""옵션 규격 불명확""],""warnings"":[]}"
