product_id,source_name,source_url,source_title,translated_title,category_guess,source_price,source_shipping_fee,option_count,option_names,review_count,rating,seller_name,seller_score,recent_sales_hint,image_count,source_spec_text,source_component_text,collected_keyword,collected_at,collection_status,risk_hint,keyword_metadata,shipping_reliability_hint
RAW_camera_screw_adapter_0_qsy19,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_0_qsy19,camera screw adapter - Item 0,[자동번역] camera screw adapter - 상품 0,CAMERA_ACC,83.76,0.00,4,"1/4, 3/8, Universal",248,4.6,Great Parts Store,4.8,0,5,Size: Standard,1x Screw Adapter,camera screw adapter,2026-04-26T10:13:15.952Z,SUCCESS,POTENTIAL_RISK_DETECTED,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",NORMAL
RAW_camera_screw_adapter_1_zalyk,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_1_zalyk,camera screw adapter - Item 1,[자동번역] camera screw adapter - 상품 1,CAMERA_ACC,102.97,0.00,7,"Type A, Type B",561,4.8,Great Parts Store,4.8,100+,5,"Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH",1x Screw Adapter,camera screw adapter,2026-04-26T10:13:15.953Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",NORMAL
RAW_camera_screw_adapter_2_icc87,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_2_icc87,camera screw adapter - Item 2,[자동번역] camera screw adapter - 상품 2,CAMERA_ACC,45.30,0.00,6,"Type A, Type B",1,4.0,Great Parts Store,4.8,100+,5,Size: Standard,1x Screw Adapter,camera screw adapter,2026-04-26T10:13:15.953Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",NORMAL
RAW_camera_screw_adapter_3_9caob,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_3_9caob,camera screw adapter - Item 3,[자동번역] camera screw adapter - 상품 3,CAMERA_ACC,27.21,0.00,3,"1/4, 3/8, Universal",562,5.0,Great Parts Store,4.8,0,5,Size: Standard,1x Screw Adapter,camera screw adapter,2026-04-26T10:13:15.953Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",NORMAL
RAW_camera_screw_adapter_4_b8cm7,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_4_b8cm7,camera screw adapter - Item 4,[자동번역] camera screw adapter - 상품 4,CAMERA_ACC,40.66,0.00,9,"Type A, Type B",4,5.0,Great Parts Store,4.8,100+,5,"Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH",1x Screw Adapter,camera screw adapter,2026-04-26T10:13:15.953Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",NORMAL
RAW_camera_screw_adapter_5_500os,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_5_500os,camera screw adapter - Item 5,[자동번역] camera screw adapter - 상품 5,CAMERA_ACC,48.77,0.00,7,"Type A, Type B",63,4.4,Great Parts Store,4.8,100+,5,Size: Standard,1x Screw Adapter,camera screw adapter,2026-04-26T10:13:15.953Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",FAST
RAW_camera_screw_adapter_6_j1lgt,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_6_j1lgt,camera screw adapter - Item 6,[자동번역] camera screw adapter - 상품 6,CAMERA_ACC,89.01,0.00,8,"1/4, 3/8, Universal",4,4.2,Great Parts Store,4.8,100+,5,"Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH",,camera screw adapter,2026-04-26T10:13:15.953Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",NORMAL
RAW_camera_screw_adapter_7_euic7,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_7_euic7,camera screw adapter - Item 7,[자동번역] camera screw adapter - 상품 7,CAMERA_ACC,109.69,0.00,3,"Type A, Type B",3,4.9,Great Parts Store,4.8,0,5,Size: Standard,1x Screw Adapter,camera screw adapter,2026-04-26T10:13:15.953Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",FAST
RAW_camera_screw_adapter_8_i9ea7,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_8_i9ea7,camera screw adapter - Item 8,[자동번역] camera screw adapter - 상품 8,CAMERA_ACC,39.48,0.00,10,"Type A, Type B",887,4.7,Great Parts Store,4.8,0,5,"Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH",1x Screw Adapter,camera screw adapter,2026-04-26T10:13:15.953Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",NORMAL
RAW_camera_screw_adapter_9_8e03d,Taobao,https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_9_8e03d,camera screw adapter - Item 9,[자동번역] camera screw adapter - 상품 9,CAMERA_ACC,85.67,0.00,7,"1/4, 3/8, Universal",136,4.2,Great Parts Store,4.8,0,5,"Material: Metal, Size: 1/4 to 3/8, Keyword Intent: SPEC_MATCH",,camera screw adapter,2026-04-26T10:13:15.954Z,SUCCESS,,"{""keyword"":""camera screw adapter"",""category_group"":""CAMERA_ACC"",""allowed_category"":""SCREW_ADAPTER"",""priority"":1,""search_intent"":""SPEC_MATCH"",""expected_buyer"":""PROFESSIONAL"",""cs_risk_level"":""LOW"",""memo"":""High quality spec item"",""active"":true}",FAST
